Div,Dept,Sustainability-Inclusive Author Count,SDG-Related Author Count,Not-Related Author Count,Sustainability-Focused Author Count,Division Name Correction,Department Name Correction,Dept Classification,True Department? Only right dept (wrong name not included),Notes,Need Help,Notes
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Clinical and Experimental Therapeutics,0,2,0,0,,Titus Family Department of Clinical Pharmacy,Academic,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,D. K. Kim International Center for Regulatory Science,3,2,1,0,,Regulatory and Quality Sciences,Academic,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Healthcare Decision Analysis,0,1,1,0,,Pharmaceutical and Health Economics,Academic,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,International Travel Medicine Clinic,1,2,0,0,,Other,Academic,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Management of Drug Development,0,1,0,0,,Regulatory and Quality Sciences,Academic,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Mass Spectrometry Core,2,2,2,0,,Other,Academic and Administrative,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Medicinal Chemistry Core,0,3,1,0,,Other,Academic and Administrative,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Other,38,42,3,0,,,Academic and Administrative,no,,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Pharmaceutical Economics and Policy,0,1,0,0,,Pharmaceutical and Health Economics,Academic,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Pharmaceutical and Health Economics,28,31,3,0,,,Academic,yes,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Pharmaceutical and Translational Sciences Program,1,1,0,0,,Pharmacology and Pharmaceutical Sciences,Academic,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Pharmacy,0,1,0,0,,Pharmacology and Pharmaceutical Sciences,Academic,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Regulatory and Quality Sciences,6,8,2,0,,,Academic,yes,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Southern California Clinical and Translational Science Institute (SC CTSI),31,26,7,0,,,Academic,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Teaching and Research Assistants,0,1,0,0,,Other,Academic and Administrative,no,,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Titus Family Department of Clinical Pharmacy,73,108,24,1,,,Academic,yes,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Ginsburg Institute for Biomedical Therapeutics,11,34,15,2,,,Academic,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Leonard D. Schaeffer Center for Health Policy and Economics,0,88,20,2,,Pharmaceutical and Health Economics,Academic,no,https://mann.usc.edu,,
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Pharmacology and Pharmaceutical Sciences,64,188,69,7,,,Academic,yes,https://mann.usc.edu,,
Annenberg School for Communication and Journalism,Center for the Digital Future,0,1,0,0,,,Academic,no,https://www.digitalcenter.org/about/,,
Norman Lear Center,Center on Public Diplomacy,0,3,1,0,,,Academic,no,https://uscpublicdiplomacy.org/about/meet_cpd_team,,
Annenberg School for Communication and Journalism,Norman Lear Center,1,4,4,0,,,Academic,no,https://learcenter.org/,,
Annenberg School for Communication and Journalism,School of Communication,26,29,25,0,,,Academic,yes,https://annenberg.usc.edu/,,
Annenberg School for Communication and Journalism,Center for Public Relations,2,1,1,1,,,Academic,no,https://annenberg.usc.edu/research/center-public-relations,,
