 ,authorIDs,affiliations,fullnames,firstnames,lastnames,depts,divs,Number_of_IDs,COMBINE_TF,Div_Same_TF,OTHER ROW MATCHES,combine (duplicate the row if there are multiple combines),First Name_With_Middle,First Name,Last Name,"Full Name(Last, First Middle)",Notes
Abdel-Latif S.,57367212800###57961582300,"Abdel-Latif S., Department of Chemistry, University of Southern California, Los Angeles, 90089, CA, United States###Abdel-Latif S., Alzheimer's Therapeutic Research Institute, University of Southern California, San Diego, CA, United States","Abdel-Latif, Samantha (57367212800)###Abdel-Latif, Sara (57961582300)", Samantha### Sara,Abdel-Latif###Abdel-Latif,Chemistry###Alzheimer's Therapeutic Research Institute,Dornsife College of Letters Arts and Sciences###Keck Medicine of USC,2,FALSE,FALSE,,,,,,,
Abreu A.,49862972700###57446008300###57921460300,"Abreu A., USC Institute of Urology and Catherine, Joseph Aresty Department of Urology, Keck School of Medicine, Los Angeles, CA, United States;Abreu A.L., USC Institute of Urology, Catherine and Joseph Aresty Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Abreu A., Urology Institute, University of Southern California, Los Angeles, CA, United States;Abreu A., Department of Urology, Catherine and Joseph Aresty, USC Institute of Urology, Keck School of Medicine, USC/Norris Comprehensive Cancer Center, Los Angeles, CA, United States;Abreu A.L., USC Institute of Urology, University of Southern California, Los Angeles, CA, United States;De Castro Abreu A.L., Urology Institute University of Southern California (USC), Los Angeles, CA, United States;Abreu A.L., USC Institute of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, Catherine & Joseph Aresty Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;De Castro Abreu A.L., USC Institute of Urology and Catherine and Joseph Aresty Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Abreu A., USC Institute of Urology and Catherine and Joseph Aresty Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, USC Institute of Urology, Keck School of Medicine, University of Southern California, 1441 Eastlake Ave, Suite 7416, Los Angeles, 90089, CA, United States;Abreu A., USC Institute of Urology and Catherine and Joseph Aresty Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;De Castro Abreu A., USC Institute of Urology, Keck Medicine of USC, University of Southern California, Los Angeles, CA, United States;Abreu A., Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Abreu A.L., Department of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, CA., United States, USC Institute of Urology, Center for Image-guided Surgery and Focal Therapy, University of Southern California, Los Angeles, CA., United States;Abreu A.L., Center for Image-Guided and Focal Therapy for Prostate Cancer, Institute of Urology and Catherine and Joseph Aresty Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, Institute of Urology and Catherine and Joseph Aresty Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Abreu A.L., USC Institute of Urology Catherine, Joseph Aresty Department of Urology, University of Southern California, 1441 Eastlake Avenue, Suite 7416, Los Angeles, 90089, CA, United States, Center for Image-Guided and Focal Therapy for Prostate Cancer, University of Southern California, Los Angeles, CA, United States;Abreu A.L., USC Institute of Urology, Catherine and Joseph Aresty Department of Urology, University of Southern California, Los Angeles, United States, Center for Image-Guided and Focal Therapy for Prostate Cancer, Keck School of Medicine, University of Southern California, 1441 Eastlake Ave, Ste 7416, Los Angeles, 90089, CA, United States;Abreu A., Department of Urology, Keck School of Medicine, USC Institute of Urology and Catherine and Joseph Aresty, University of Southern California, Los Angeles, CA, United States, Department of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Abreu A.L., USC Institute of Urology and Catherine and Joseph Aresty Department of Urology, Center for Image-Guided Surgery and Focal Therapy, Keck School of Medicine, University of Southern California, 1441 Eastlake Ave, Suite 7416, Los Angeles, 90089, CA, United States, Department of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Abreu A.L., USC Institute of Urology and Catherine & Joseph Aresty, Department of Urology, Center for Image-Guided and Focal Therapy for Prostate Cancer, University of Southern California, Los Angeles, CA, Mexico;de Castro Abreu A.L., USC Institute of Urology, Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;de Castro Abreu A.L., Urology Institute, University of Southern California, Los Angeles, CA, United States;Abreu A.L., USC Institute of Urology and Catherine & Joseph Aresty Department of Urology, University of Southern California, Los Angeles, CA, United States;Abreu A., Department of Urology, USC Norris Comprehensive Cancer Center and Hospital, University of Southern California, CA, United States;Abreu A., Keck School of Medicine, Catherine and Joseph Aresty Department of Urology, USC Institute of Urology, University of Southern California, Los Angeles, CA, United States;Abreu A.L., USC Institute of Urology and Catherine & Joseph Aresty Department of Urology, Center for Image-Guided Surgery and Focal Therapy, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, Department of Radiology, Keck School of Medicine, University of Southern California, 1441 Eastlake Ave, Suite 7416, Los Angeles, 90089, CA, United States;Abreu A.L., USC Institute of Urology and Catherine & Joseph Aresty Department of Urology, Center for Image‐Guided and Focal Therapy for Prostate Cancer, Keck School of Medicine, University of Southern California, Los Angeles, 90089, CA, United States;De Castro Abreu A., Urology Institute, University of Southern California, Los Angeles, CA, United States;Abreu A.L., USC Institute of Urology and Catherine & Joseph Aresty Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;De Castro Abreu A., USC Institute of Urology, Keck Medicine of USC, University of Southern California, Los Angeles, CA, Mexico;Abreu A.L., USC Institute of Urology and Catherine and Joseph Aresty, Department of Urology, Center for Image-Guided and Focal Therapy for Prostate Cancer, University of Southern California, Los Angeles, CA, United States, Departments of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Abreu A.L., USC Institute of Urology, Center for Image-Guided Surgery, Focal Therapy and Artificial Intelligence for Prostate Cancer, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States###Abreu A.L., Usc Institute of Urology and Catherine, Joseph Aresty Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Abreu A., Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, 90033, CA, United States;Abreu A., Urology, Keck School of Medicine at University of Southern California, United States;Abreu A., USC Institute of Urology and Catherine and Joseph Aresty Department of Urology, University of Southern California, Los Angeles, CA, United States;Abreu A.L., Department of Urology, Keck School of Medicine, University of South California, Los Angeles, CA, United States;Abreu A.L., Department of Urology, Keck School of Medicine and University of South California, CA, United States###Abreu A., Inst of Urology, Univ of Southern California–USC School of Medicine, Los Angeles, CA, United States","Abreu André Luis De Castro###Abreu Andre Luis###Abreu, Andre (57921460300)",André###Andre### Andre,Abreu###Abreu###Abreu,Norris Comprehensive Cancer Center;Radiology;Urology###Urology###Urology,Keck Medicine of USC###Keck Medicine of USC###Keck Medicine of USC,3,TRUE,TRUE,,49862972700###57446008300###57921460300,André Luis De Castro,Andre Luis,Abreu,"Abreu, Andre Luis",
Abt B.,57225169334###57514321500,"Abt B., Department of Surgery, Keck School of Medicine of USC, University of Southern California, Los Angeles, CA, United States;Abt B.G., Division of Cardiac Surgery, Department of Surgery, Keck School of Medicine of USC, University of Southern California, Los Angeles, CA, United States;Abt B.G., Division of Cardiac Surgery, Department of Surgery, University of Southern California, Keck School of Medicine, Los Angeles, Calif, United States;Abt B., Department of Surgery, Division of Cardiac Surgery, Keck School of Medicine of USC, University of Southern California, Los Angeles, California., United States###Abt B., Department of Neurosurgery, Keck School of Medicine of USC, Los Angeles, 90033, CA, United States","Abt, Brittany (57225169334)###Abt, Brittany (57514321500)", Brittany### Brittany,Abt###Abt,Surgery###,Keck Medicine of USC###Keck Medicine of USC,2,TRUE,TRUE,,57225169334###57514321500,Brittany,Brittany,Abt,"Abt, Brittany",
Aggarwal A.,57211792743###57216851942,"Aggarwal A., University of Southern California, United States###Aggarwal A., University of Southern California (USC), United States","Aggarwal, Aashray (57211792743)###Aggarwal, Arnav (57216851942)", Aashray### Arnav,Aggarwal###Aggarwal,###,###,2,FALSE,TRUE,,,,,,,
Ahmadi H.,56948314900###57535551400,"Ahmadi H., University of Southern California, Norris Comprehensive Cancer Center, Institute of Urology, Los Angeles, CA, United States;Ahmadi H., Department of Urology, University of Southern California, Los Angeles, CA, United States;Ahmadi H., Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Ahmadi H., Department of Urology, University of Southern California/Norris Comprehensive Cancer Center, Los Angeles, CA, United States;Ahmadi H., Department of Urology, USC/Norris Comprehensive Cancer Center, University of Southern California, Los Angeles, CA, United States;Ahmadi H., USC Institute of Urology, USC/Norris Comprehensive Cancer Center, University of Southern California, Los Angeles, CA, United States;Ahmadi H., Department of Urology, University of Southern California/Norris Comprehensive Cancer Center, 1441 Eastlake Avenue, Suite 7416, Los Angeles, 90089, CA, United States;Ahmadi H., USC Institute of Urology and Norris Comprehensive Cancer Center, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Ahmadi H., Department of Urology, University of Southern California, Norris Comprehensive Cancer Center, Los Angeles, CA, United States;Ahmadi H., Keck Medical Center of USC, USC Institute of Urology, University of Southern California, Los Angeles, CA;Ahmadi H., Department of Urology, Norris Comprehensive Cancer Center, University of Southern California, Los Angeles, CA, United States;Ahmadi H., Department of Urology, USC Norris Comprehensive Cancer Center, University of Southern California, Los Angeles, CA, United States;Ahmadi H., Institute of Urology, Keck School of Medicine of USC, Los Angeles, CA, United States;Ahmadi H., Department of Urology, Keck Medicine of USC, University of Southern California, Los Angeles, CA, United States###Ahmadi H., Department of Population and Public Health Sciences, Keck School of Medicine of University of Southern California, Los Angeles, United States","Ahmadi, Hamed (56948314900)###Ahmadi, Hedyeh (57535551400)", Hamed### Hedyeh,Ahmadi###Ahmadi,Norris Comprehensive Cancer Center;Urology###Population and Public Health Sciences,Keck Medicine of USC###Keck Medicine of USC,2,FALSE,TRUE,,,,,,,
Aisen P.,35397403800###57662556600,"Aisen P.S., University of Southern California, San Diego, CA, United States;Aisen P., University of Southern California, United States;Aisen P.S., Alzheimer's Therapeutic Research Institute, University of Southern California, San Diego, San Diego, United States;Aisen P., University of Southern California, San Francisco, CA, United States;Aisen P., University of Southern California, Los Angeles, United States;Aisen P.S., Alzheimer’s Therapeutic Research Institute, Keck School of Medicine of USC, San Diego, CA, United States;Aisen P.S., Alzheimer's Therapeutic Research Institute, University of Southern California, San Diego, CA, United States;Aisen P., Alzheimer's Therapeutic Research Institute, Keck School of Medicine, University of Southern California, San Diego, United States;Aisen P.S., Alzheimer's Therapeutic Research Institute, University of Southern California, San Diego, United States;Aisen P.S., Alzheimer’s Therapeutic Research Institute, University of Southern California, San Diego, CA, United States;Aisen P.S., University of Southern California, Alzheimer’s Therapeutic Research Institute, San Diego, CA, United States;Aisen P., Department of Neurology, University of Southern California, United States;Aisen P.S., Alzheimer Therapeutic Research Institute, Keck School of Medicine, University of Southern California, San Diego, United States;Aisen P., Alzheimer’s Therapeutic Research Institute, University of Southern California (USC), San Diego, CA, United States;Aisen P.S., University of South California, A.T.R.I, San-Diego, United States;Aisen P.S., Alzheimer’s Therapeutic Research Institute (ATRI), Keck School of Medicine, University of Southern California, San Diego, CA, United States;Aisen P.S., Alzheimer’s Therapeutic Research Institute (ATRI), Keck School of Medicine, University of Southern California, San Diego, CA, United States, University of Southern California Alzheimer’s Therapeutic Research Institute, San Diego, CA, United States;Aisen P.S., Alzheimer's Therapeutic Research Institute, Keck School of Medicine, University of Southern California, San Diego, CA, United States;Aisen P., University of Southern California, Los Angeles, CA, United States;Aisen P., University of Southern California, San Diego, CA, United States;Aisen P., Alzheimer's Therapeutic Research Institute, University of Southern California, San Diego, CA, United States;Aisen P., Alzheimer’s Therapeutic Research Institute, University of Southern California, Los Angeles, CA, United States;Aisen P., Alzheimer’s Treatment Research Institute, University of Southern California, San Diego, CA, United States;Aisen P., Alzheimer’s Therapeutic Research Institute, University of Southern California, San Diego, CA, United States;Aisen P., Alzheimer Therapeutic Research Institute, Keck School of Medicine, University of Southern California, San Diego, Mexico;Aisen P.S., Keck School of Medicine, University of Southern California, San Diego, CA, United States;Aisen P.S., Alzheimer’s Therapeutic Research Institute, Keck School of Medicine of the University of Southern California, San Diego, CA, United States;Aisen P., Alzheimer’s Therapeutic Research Institute, University of Southern California, San Diego, United States;Aisen P., Department of Neurology, University of Southern California, San Diego, CA, United States, Alzheimer's Therapeutic Research Institute, San Diego, CA, United States;Aisen P.S., Alzheimer's Therapeutic Research Institute, University of Southern California, Los Angeles, United States;Aisen P., Alzheimer's Therapeutic Research Institute (ATRI), Keck School of Medicine, University of Southern California, San Diego, CA, United States;Aisen P., University of Southern California, Los Angeles, CA, United States, Alzheimer's Therapeutic Research Institute, Keck School of Medicine, University of Southern California, San Diego, CA, United States;Aisen P.S., Alzheimer Therapeutic Research Institute, Keck School of Medicine, University of Southern California, San Diego, CA, United States;Aisen P.S., University of Southern California Alzheimer’s Therapeutic Research Institute, San Diego, CA, United States;Aisen P.S., Alzheimer's Therapeutic Research Institute, University of Southern California, San Francisco, CA, United States;Aisen P., Alzheimer’s Therapeutic Research Institute, University of Southern California, San Diego, San Diego, CA, United States;Aisen P., Alzheimer’s Therapeutic Research Institute, Keck School of Medicine, University of Southern California, 9860 Mesa Rim Road, San Diego, 92121, CA, United States;Aisen P.S., Alzheimer's Therapeutic Research Institute, Department of Neurology, Keck School of Medicine of USC, Los Angeles, CA, United States;Aisen P.S., Alzheimer's Therapeutic Research Institute, University of Southern California, San Diego, La Jolla, CA, United States;Aisen P.S., Alzheimer’s Therapeutic Research Center, University of Southern California, San Diego, CA, United States###Aisen P., University of Southern California, San Francisco, CA, United States","Aisen Paul S.###Aisen, Paul (57662556600)",Paul### Paul,Aisen###Aisen,Alzheimer's Therapeutic Research Institute;Neurology###,Keck Medicine of USC###,2,FALSE,FALSE,,35397403800###57662556600,Paul,Paul,Aisen,"Aisen, Paul",
Akbari O.,57193000078###57204342676,"Akbari O., Department of Electrical Engineering, University of Southern California, Los Angeles, 90089-2562, CA, United States###Akbari O., Department of Molecular Microbiology and Immunology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Akbari O., Department of Molecular Microbiology and Immunology, Keck School of Medicine, University of Southern California, Los Angeles, 90033, CA, United States;Akbari O., Department of Molecular Microbiology and Immunology, Keck School of Medicine, USC, Los Angeles, CA, United States;Akbari O., Department of Molecular Microbiology and Immunology, University of Southern California Keck School of Medicine, Los Angeles, CA, United States;Akbari O., Department of Molecular Microbiology and Immunology, Keck School of Medicine, University of Southern California, Los Angeles, Calif;Akbari O., Department of Molecular Microbiology and Immunology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, Department of Medicine, Norris Cancer center, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Akbari O., Department of Molecular Microbiology and Immunology, Keck School of Medicine, University of Southern California, Los Angeles, Calif, United States;Akbari O., Department of Molecular Microbiology and Immunology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, Department of Medicine, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Akbari O., Department of Molecular and Cellular Immunology, University of Southern California, Los Angeles, CA, United States;Akbari O., Department of Molecular, Microbiology and Immunology, University of Southern California, Keck School of Medicine, Los Angeles, 90033, CA, United States;Akbari O., Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, Department of Molecular Microbiology and Immunology, University of Southern California, Los Angeles, CA, United States","Akbari, Omid (57193000078)###Akbari, Omid (57204342676)", Omid### Omid,Akbari###Akbari,Electrical and Computer Engineering###Medicine;Molecular Microbiology and Immunology,Viterbi School of Engineering###Keck Medicine of USC,2,TRUE,FALSE,,,Omid,Omid,Akbari,"Akbari, Omid",
Akhter M.,57218617472###57452315800,"Akhter M., University of Southern California Keck School of Medicine, Ophthalmology, Los Angeles, CA, United States###Akhter M., Los Angeles County + University of Southern California Medical Center, Department of Ophthalmology, 2051 Marengo St, Los Angeles, 90033, CA, United States","Akhter, Mashal (57218617472)###Akhter, Mashal (57452315800)", Mashal### Mashal,Akhter###Akhter,###Ophthalmology,Keck Medicine of USC###Keck Medicine of USC,2,TRUE,TRUE,,57218617472###57452315800,Mashal,Mashal,Akhter,"Akhter, Mashal",
Akrami H.,57200383627###57813815600,"Akrami H., University of Southern California, Los Angeles, United States;Akrami H., Signal and Image Processing Institute, University of Southern California, Los Angeles, CA, United States;Akrami H., Department of Biomedical Engineering, University of Southern California, Los Angeles, United States;Akrami H., University of Southern California, Los Angeles, CA, United States, Merck & Co., Inc., Rahway, NJ, United States###Akrami H., Department of Biomedical Engineering, University of Southern California, Los Angeles, United States","Akrami, Haleh (57200383627)###Akrami, Hale (57813815600)", Haleh### Hale,Akrami###Akrami,Biomedical Engineering;Signal and Information Processing Institute (SIPI)###Biomedical Engineering,Viterbi School of Engineering###Viterbi School of Engineering,2,FALSE,TRUE,,57200383627###57813815600,Haleh,Haleh,Akrami,"Akrami, Haleh",
Ali A.,57213370707###57904088200,"Ali A., Department of Clinical Pharmacy, School of Pharmacy, University of Southern California, Los Angeles, 90089, CA, United States;Ali A., Department of Clinical Pharmacy, School of Pharmacy, University of Southern California, Los Angeles, CA###Ali A., Jane Anne Nohl Division of Hematology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States","Ali, Atham (57213370707)###Ali, Amir (57904088200)", Atham### Amir,Ali###Ali,Titus Family Department of Clinical Pharmacy###Medicine,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences###Keck Medicine of USC,2,FALSE,FALSE,,,,,,,
