Department,Division,Change,Change to,Reason or comment
Specialty Pharmacy,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,TRUE,Pharmacology and Pharmaceutical Sciences,"Couldn't find this one, but makes sense to be in Pharmacology and Pharmaceutical Sciences"
Clinical and Experimental Therapeutics,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,TRUE,Titus Family Department of Clinical Pharmacy,"original was a student program, but its in this Dept"
Management of Drug Development,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,TRUE,Regulatory and Quality Sciences,"original was a student program, but its in this Dept"
Healthcare Decision Analysis,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,TRUE,Pharmaceutical and Health Economics,"original was a student program, but its in this Dept"
Mass Spectrometry Core,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,TRUE,Other,
Pharmacy,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,TRUE,Pharmacology and Pharmaceutical Sciences,"original was a student program, but its in this Dept"
Medicinal Chemistry Core,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,TRUE,Other,
International Travel Medicine Clinic,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,TRUE,Other,
Pharmaceutical and Translational Sciences Program,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,TRUE,Pharmacology and Pharmaceutical Sciences,"original was a student program, but its in this Dept"
School of Communication,Annenberg School for Communication and Journalism,TRUE,Communication,*note some authors are in Communication and Journalism Depts. 
School of Journalism,Annenberg School for Communication and Journalism,TRUE,Journalism,
Communication Data Science,Annenberg School for Communication and Journalism,TRUE,Other,"doesn't exist as a Dept.. This is probably a academic program and would go to Communication, as well as Data Science in Viterbi"
Humanities in a Digital World,Dornsife College of Letters Arts and Sciences,TRUE,Mellon Humanities in a Digital World,
Dornsife/Viterbi Machine Shop,Dornsife College of Letters Arts and Sciences,TRUE,Other,also should belong to Viterbi as well (in other there as well) 
Other,Gould School of Law,TRUE,Law,
Law Budget Office,Gould School of Law,TRUE,Law,
Law JD Operations,Gould School of Law,TRUE,Law,
Law Immigration Clinic,Gould School of Law,TRUE,Law,
Law,Gould School of Law,TRUE,Law,
Law Sponsored Research,Gould School of Law,TRUE,Law,
Post Graduate Education Certificate Programs,Herman Ostrow School of Dentistry of USC,TRUE,Other,
Prosthodontics,Herman Ostrow School of Dentistry of USC,TRUE,Other,
Orthodontics,Herman Ostrow School of Dentistry of USC,TRUE,Endodontics and Orthodontics,
