full_name,mod_type,authorID,Dept,Div
Priya Jaikumar,replace_other,53564097100,Cinema and Media Studies,School of Cinematic Arts
Thomas Pringle,replace_other,57211648317,Cinema and Media Studies,School of Cinematic Arts
JOYCE M. RICHEY,remove,7006589762,Inclusion and Diversity Operations,Office of Professionalism and Ethics
"Veiras, Luciana",remove,16023215100,Biomedical Sciences,Herman Ostrow School of Dentistry of USC
Vercruysse G.A.,delete_author,15123390800, , 
"Lim, Robert",delete_author,35749955200,,
"Johannigman, Jay",delete_author,26643498300,,
"Fox, Charles J.",delete_author,7402165592,,
"Thomas, Richard W.",delete_author,58491290500,,
"Konstantyn, Gumeniuk",delete_author,58492984200,,
"Schwaitzberg, Steven D.",delete_author,7007036892,,
Aaron Epstein,delete_author,57898819900,,
