pub,new_classification
A new approach to monitor the life cycle of urban street tree canopies,Sustainability-Focused
Augmenting ocean water desalination with potable reuse: Concept feasibility in terms of cost and environmental impacts,Sustainability-Focused
"Bacterial dealkylation of benzalkonium chlorides in wastewater produces benzyldimethylamine, a potent N-nitrosodimethylamine precursor",Sustainability-Focused
What is a financial frontier?,SDG-Related
"Casual Planetarities Choreographies, Resonance, and the Geologic Presence of People and Aquifers",SDG-Related
The Re-Combinatory Nature of Property within Racial Regimes of Ownership,Not-Related
Ethnography: A First Overarching Look,Not-Related
Los hechos nunca andan solos: The future of facts in Latin America,Not-Related
Engaging Residents to Address Environmental Injustices and Socioecological Factors in Boyle Heights,Sustainability-Focused
Microplastics May Not Proliferate Antibiotic Resistance during Mainstream Anaerobic Treatment,Sustainability-Focused
"Amplitude multiplexed wastewater surveillance for campus health: tracking SARS-CoV-2, influenza A, and norovirus",Sustainability-Inclusive
Digital Nations and the Future of the Climate Crisis,Sustainability-Focused
Motivated Bias in Detecting Climate Change Misinformation,Sustainability-Focused
Repurposing Idle Wells for Low-Temperature Geothermal Water,Sustainability-Focused
SEA GRANT PROGRAMS BUILD RESILIENCE TO COASTAL CLIMATE HAZARDS,Sustainability-Focused
Stressors in an Urban Environmental Justice Community During the Early COVID-19 Pandemic,Sustainability-Focused
Sustainable agriculture with LEAFS: a low-cost electrochemical analyzer of foliage stress,Sustainability-Focused
Toward Personalized Treatment of Depression: An Affordable Citalopram Test based on a Solid-Contact Potentiometric Electrode for at-Home Monitoring of the Antidepressant Dosage,SDG-Related
Lab-on-a-lollipop (LoL) platform for preventing food-induced toxicity: all-in-one system for saliva sampling and electrochemical detection of vanillin,SDG-Related
A new PVA-κCA double-network hydrogel comprising conductive polyaniline nanofibers for strain sensing applications,SDG-Related
Flexible Acetylcholine Neural Probe with a Hydrophobic Laser-Induced Graphene Electrode and a Fluorous-Phase Sensing Membrane,Not-Related
A comprehensive spatial-temporal infection model,SDG-Related
Accounting for super-spreader events and algebraic decay in SIR models,SDG-Related
A Model for Reinfections and the Transition of Epidemics,SDG-Related
"An algebraic formula, deep learning and a novel SEIR-type model for the COVID-19 pandemic",SDG-Related
"Happy first birthday, PNAS Nexus",Not-Related
Our times of hyphenated disciplines (and with an insight on sustainability),Not-Related
Towards sustainable and humane dairy farming: A low-cost electrochemical sensor for on-site diagnosis of milk fever,Sustainability-Focused
"A Polymeric Planarization Strategy for Versatile Multiterminal Electrical Transport Studies on Small, Bulk Crystals",SDG-Related
Quasi-epitaxial growth of BaTiS3 films,Not-Related
A Hybrid Pulsed Laser Deposition Approach to Grow Thin Films of Chalcogenides,Not-Related
"Nanoscale Iron Redistribution during Thermochemical Decomposition of CaTi1-xFexO3−δ Alters the Electrical Transport Pathway: Implications for Oxygen-Transport Membranes, Electrocatalysis, and Photocatalysis",Not-Related
"The Hydrogen Evolution Activity of BaZrS3, BaTiS3, and BaVS3 Chalcogenide Perovskites",Not-Related
Ultrasound Control of Genomic Regulatory Toolboxes for Cancer Immunotherapy,SDG-Related
Widespread loss of mammalian lineage and dietary diversity in the early Oligocene of Afro-Arabia,Sustainability-Inclusive
A parapithecid stem anthropoid of African origin in the Paleogene of South America,Sustainability-Inclusive
"Total evidence time-scaled phylogenetic and biogeographic models for the evolution of sea cows (Sirenia, Afrotheria)",Sustainability-Inclusive
"Oldest Record of African Bagridae and Evidence from Catfishes for a Marine Influence in the Late Eocene Birket Qarun Locality 2 (BQ-2), Fayum Depression, Egypt",SDG-Related
An early Oligocene age for the oldest known monkeys and rodents of South America,SDG-Related
A new protocetid whale offers clues to biogeography and feeding ecology in early cetacean evolution,SDG-Related
"Dinosaur remains from the Upper Cretaceous (Campanian) of the western desert, Egypt",SDG-Related
"New records of legless squamates from the lowest upper Eocene deposits of the Fayum Depression, Egypt",SDG-Related
A diminutive new basilosaurid whale reveals the trajectory of the cetacean life histories during the Eocene,SDG-Related
Oldest record of a crown anomaluroid rodent from sub-Saharan Africa: a new genus and species from the early Oligocene Topernawi formation of northern Kenya,SDG-Related
The Phylogeny of Primates,Not-Related
Revision of oligocene 'paraphiomys' and an origin for crown thryonomyoidea (rodentia: Hystricognathi: Phiomorpha) near the oligocene-miocene boundary in africa,Not-Related
