pub,new_classification
Carbon dioxide capture and recycling to methanol: Building a carbon–neutral methanol economy,Sustainability-Focused
Homogeneous Hydrogenation of CO2 and CO to Methanol: The Renaissance of Low-Temperature Catalysis in the Context of the Methanol Economy,Sustainability-Focused
Catalytic Homogeneous Hydrogenation of CO2 to Methanol,Sustainability-Focused
Tertiary Amine-Ethylene Glycol Based Tandem CO2 Capture and Hydrogenation to Methanol: Direct Utilization of Post-Combustion CO2,Sustainability-Focused
Renewable Methanol Synthesis through Single Step Bi-reforming of Biogas,SDG-Related
Hydroxide Based Integrated CO2 Capture from Air and Conversion to Methanol,Sustainability-Focused
Polyamine based solid CO2adsorbents for [11C]CO2purification and radiosynthesis,SDG-Related
Metal hydroxide assisted integrated direct air capture and conversion to methane with Ni/Al2O3 catalysts,SDG-Related
Phosphate assisted integrated carbon dioxide capture and conversion to methane,SDG-Related
CO2 Capture and Direct Air CO2 Capture Followed by Integrated Conversion to Methane Assisted by Metal Hydroxides and a Ru/Al2O3 Catalyst,Sustainability-Focused
Addition of Imidazolium-Based Ionic Liquid to Improve Methanol Production in Polyamine-Assisted CO2 Capture and Conversion Systems Using Pincer Catalysts,Sustainability-Focused
Lanthanide promoted nickel catalysts for the integrated capture and conversion of carbon dioxide to methane via metal carbonates,SDG-Related
Direct Hydrogenolysis of Cellulose to Methane Utilizing Rare-Earth Promoted Nickel Catalysts,Not-Related
"Evidence of changes in sedimentation rate and sediment fabric in a low-oxygen setting: Santa Monica Basin, CA",Sustainability-Focused
Interannual Variations of D14CTOC and Elemental Contents in the Laminated Sediments of the Santa Barbara Basin During the Past 200 Years,Sustainability-Focused
Pelagic calcium carbonate production and shallow dissolution in the North Pacific Ocean,Sustainability-Focused
Lateral transport facilitates terrestrial organic carbon burial in the Santa Barbara Basin over the past 80 years (1937–2018 CE),Sustainability-Focused
Living to Lithified: Construction and Preservation of Silicified Biomarkers,Sustainability-Focused
A Mechanistic Study of Carbonic Anhydrase-Enhanced Calcite Dissolution,SDG-Related
The carbonic anhydrase activity of sinking and suspended particles in the North Pacific Ocean,SDG-Related
"Microbial succession and dynamics in meromictic Mono Lake, California",SDG-Related
The Dissolution Rate of CaCObinf3einf in the Ocean,SDG-Related
On the Use of Dissolved Oxygen Isotopologues as Biogeochemical Tracers in the Northeast Pacific Ocean,SDG-Related
Authigenic Formation of Clay Minerals in the Abyssal North Pacific,SDG-Related
Local and remote forcing on the interannual variations of the sedimentary δ15N in Santa Barbara Basin during the past 80 years,SDG-Related
Evidence for benthic oxygen production in Neoarchean lacustrine stromatolites,SDG-Related
CaCO3 dissolution in carbonate-poor shelf sands increases with ocean acidification and porewater residence time,SDG-Related
Shallow Calcium Carbonate Cycling in the North Pacific Ocean,SDG-Related
RADIv1: a non-steady-state early diagenetic model for ocean sediments in Julia and MATLAB/GNU Octave,SDG-Related
Novel device to collect deep-sea porewater in situ: A focus on benthic carbonate chemistry,SDG-Related
