LawPubID,Include in Dashboard,Publication Type (Article or Book?),USC Author_Last_First,Focal USC Author Division/School,Focal USC Author Department,Authors_dont_use,Author.full.names,Author.s..ID,Title,Year,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,Page.count,DOI,Cited.by,Link,Affiliations,Authors.with.affiliations,Abstract,Indexed.Keywords,Author.Keywords
Law2,Yes,Article,"Altman, Scott",USC Gould School of Law,Law JD Operations,"Altman, Scott",,57202977716,Selling Silence: The Morality of Sexual Harassment  ,2022,Journal of Applied Philosophy,39,4,,698,720,,10.1111/japp.12590,,https://onlinelibrary.wiley.com/doi/10.1111/japp.12590,,,,,
Law55,Yes,Article,"Altman, Scott",USC Gould School of Law,Law JD Operations,"Altman, Scott",,57202977716,Why Parents’ Interests Matter,2022,Ethics,133,2,,271,285,,10.1086/722128,,https://www.journals.uchicago.edu/doi/10.1086/722128,,,"This discussion responds to two recent articles defending a child-centered view of parenting. Anca Gheaus and James Dwyer argue that children should be reared by the best available parent, who, in turn, should make choices based only on children’s welfare. They claim that love and respect require this fiduciary stance. However, love and respect do not justify child-centered norms. If children were competent, they would embrace norms that accommodate parental interests because they benefit from nonfiduciary rules, are grateful to their parents, and reject discrimination produced by child-centered principles. Furthermore, child-centered accounts imply unreasonably broad obligations to children.",,
Law61,Yes,Article,"Altman, Scott",USC Gould School of Law,Law JD Operations,"Altman, Scott",,57202977716,"Are Boycotts, Shunning, and Shaming Corrupt?",2021,Oxford Journal of Legal Studies,,4,,,,,,,https://academic.oup.com/ojls/article/41/4/987/6262072,,,"Boycotts, shunning, and shaming sometimes wrong their targets by offering corrupt incentives that undermine significant individual aims. These tactics unjustly harm targets when they aim to impede living authentically, deterring them from declaring their beliefs in public or pursuing important projects. They are corrupt because they make their targets willing participants in these harms. They subvert their targets’ ambitions not to allow money or social pressure to influence their most important actions. Although individuals must maintain their integrity, people also have a moral responsibility not to undermine those efforts. Not all uses of these tactics conflict with an anti-corruption norm. Many labour and consumer boycotts likely do not threaten authenticity. Other uses arguably pursue non-corrupt aims, such as punishment, norm reinforcement or non-complicity, threatening corruption only as an unintended consequence. Even as to these, several considerations weigh against using boycotts, shunning, and shaming. Using these techniques for punishment and norm reinforcement is often inappropriate in a liberal society. Some uses that appear to aim at non-complicity also aim at corrupting their targets. Finally, sometimes imposing a risk of unintended corruption wrongs those exposed to such risks.",,
Law178,Yes,Book,"Armour, Jody",USC Gould School of Law,Law JD Operations,"Armour, Jody",,Gould1,"N*gga Theory: Race, Language, Unequal Justice, and the Law",2020,,,,,,,,,,https://www.shop.lareviewofbooks.org/shop/p/ngga-theory-race-language-unequal-justice-and-the-law-e-book,,,"America's criminal justice system is among the deadliest and most racist in the world and it disproportionately targets Black Americans, who are also disproportionately poor, hungry, houseless, jobless, sick, and poorly educated. By every metric of misery, this nation does not act like Black Lives M",,
Law177,Yes,Article,"Armour, Jody",USC Gould School of Law,Law JD Operations,"Armour, Jody",,Gould1,"Law, Language, and Politics",2020,University of Pennsylvania Journal of Constitutional Law,41,4,,1073,,,,,https://scholarship.law.upenn.edu/jcl/vol22/iss4/3,,,"This Article celebrates the creative role of language in producing profound social change. It therefore argues for great circumspection in regulations of hate speech that may be used to limit socially oppressed groups’ access to the words and symbols they view as most forceful and effective in political communication. Although many thoughtful racial-justice advocates support hate speech codes in the interest of racial equality, the Author worries that such regulation can actually hinder the fight for racial equality by being turned against members of marginalized groups who seek to deploy disruptive language in their discourse of resistance and struggle for equality. To explore these issues, the Article discusses current social contests over the meaning of the Confederate Flag and the N-word, two forms of symbolic communication often associated with hateful thoughts and deeds. It examines whether their hateful histories are baked into the meaning of each, so that any use of either constitutes hate speech, or if their meanings are mutable and contestable. The Article links these questions to ones about the mutability and contestability of the words that make up the legal lexicon, many of which have also been associated with rank racial discrimination. Drawing on Wittgenstein, J. L. Austin, and George Lakoff, it outlines a social theory of meaning that affirms the radical agency of the legal lexicon—and indeed of all language—and counsels against blanket prohibitions on disruptive or transgressive forms of symbolic communication. It argues that the language of lawyers and laypersons alike lack fixed and frozen meanings and, therefore, even the vilest forms of symbolic communication can be put to novel, or even revolutionary, legal, political, and artistic uses",,
Law60,No,Blog,"Barnett, Jonathan M.",USC Gould School of Law,Law JD Operations,"Barnett, Jonathan M.",,56253107700,Why Big Tech Likes Weak IP,2021,,,,,,,,,,https://www.cato.org/regulation/spring-2021/why-big-tech-likes-weak-ip,,,,,
Law58,Yes,Book,"Barnett, Jonathan M.",USC Gould School of Law,Law JD Operations,"Barnett, Jonathan M.",,56253107700,"Innovators, Firms, and Markets: The Organizational Logic of Intellectual Property",2021,,,,,,,,,,https://academic.oup.com/book/33492,,,"Conventional wisdom holds that robust enforcement of intellectual property (IP) right suppress competition and innovation by shielding incumbents against the entry threats posed by smaller innovators. That assumption has driven mostly successful efforts to weaken US patent protections for over a decade. This book challenges that assumption. In Innovators, Firms, and Markets, Jonathan M. Barnett confronts the reigning policy consensus by analyzing the relationship between IP rights, firm organization, and market structure. Integrating tools and concepts from IP and antitrust law, institutional economics, and political science, real-world understandings of technology markets, and empirical insights from the economic history of the US patent system, Barnett provides a novel framework for IP policy analysis. His cohesive framework explains how robust enforcement of IP rights enables entrepreneurial firms, which are rich in ideas but poor in capital, to secure outside investment and form the cooperative relationships needed to transform a breakthrough innovation into a marketable product. The history of the US patent system and firms' lobbying tendencies show that weakening patent protections removes a critical tool for entrants to challenge incumbents that enjoy difficult-to-match commercialization and financing capacities. Counterintuitively, the book demonstrates that weak IP rights are often the best entry barrier the state can provide to protect entrenched incumbents against disruptive innovators. By challenging common assumptions and offering a powerful integrated framework for understanding how innovation happens and the law's role in that process, Barnett's Innovators, Firms, and Markets provides important insights into how IP law shapes our economy. , Conventional wisdom holds that robust enforcement of intellectual property (IP) right suppress competition and innovation by shielding incumbents against the entry threats posed by smaller innovators. That assumption has driven mostly successful efforts to weaken US patent protections for over a decade. This book challenges that assumption. In Innovators, Firms, and Markets, Jonathan M. Barnett confronts the reigning policy consensus by analyzing the relationship between IP rights, firm organization, and market structure. Integrating tools and concepts from IP and antitrust law, institutional economics, and political science, real-world understandings of technology markets, and empirical insights from the economic history of the US patent system, Barnett provides a novel framework for IP policy analysis. His cohesive framework explains how robust enforcement of IP rights enables entrepreneurial firms, which are rich in ideas but poor in capital, to secure outside investment and form the cooperative relationships needed to transform a breakthrough innovation into a marketable product. The history of the US patent system and firms' lobbying tendencies show that weakening patent protections removes a critical tool for entrants to challenge incumbents that enjoy difficult-to-match commercialization and financing capacities. Counterintuitively, the book demonstrates that weak IP rights are often the best entry barrier the state can provide to protect entrenched incumbents against disruptive innovators. By challenging common assumptions and offering a powerful integrated framework for understanding how innovation happens and the law's role in that process, Barnett's Innovators, Firms, and Markets provides important insights into how IP law shapes our economy.",,
Law62,Yes,Book chapter,"Barnett, Jonathan M.",USC Gould School of Law,Law JD Operations,"Barnett, Jonathan M.",,56253107700,The Great Patent Grab,2021,The Battle over Patents,133,,,,,,,,https://academic.oup.com/book/39256/chapter/338806293,,,"From the late 1930s through the 1970s, the US innovation economy operated under a weak patent regime. This patent-skeptical climate was best illustrated by antitrust enforcement actions resulting in the compulsory licensing of leading US firms’ patent portfolios. Concurrently, the federal government instituted an implicit compulsory licensing regime through a dramatic infusion of R&D funding into the private sector, accompanied by constraints on firms’ legal exclusivity over technology developed using those funds. The US economy exhibited robust innovation activity for part of this period, followed by a slowdown commencing in the mid-1960s. During this period, R&D funding flowed mostly to large firms, market concentration remained high, and firms targeted by compulsory licensing generally maintained market leadership. The postwar regime of weak patents and public subsidies favored larger firms that could capture returns on innovation through vertically integrated structures and access to government funding. Case studies of two firms targeted by compulsory licensing suggest that this regime may have distorted organizational structures and the mix of innovation projects that were undertaken.",,
Law179,Yes,Article,"Barnett, Jonathan M.",USC Gould School of Law,Law JD Operations,"Barnett, Jonathan M., Sichelman, Ted",,56253107700,The Case for Noncompetes,2020,The University of Chicago Law Review,22,4,,953-1050,1050,,,,https://www.jstor.org/stable/26916103,,,"Scholars and other commentators widely assert that enforcement of contractual and other limitations on labor mobility deters innovation. Based on this view, federal and state legislators have taken, and continue to consider, actions to limit the enforcement of covenants not to compete in employment agreements. These actions would discard the centuries-old reasonableness standard that governs the enforcement of these provisions, often termed ""noncompetes,"" in all but four states (notably, California). We argue that this zero-enforcement position lacks a sound basis in theory or empirics. As a matter of theory, it overlooks the complex effects of contractual limitations on labor mobility in innovation markets. While it is frequently asserted that noncompetes may impede knowledge spillovers that foster innovation, it is frequently overlooked that noncompetes may encourage firms to invest in cultivating intellectual and human capital. As a matter of empirics, we show that two commonly referenced bodies of evidence fail to support zero enforcement. First, we revisit the conventional account of the rise of Silicon Valley and the purported fall of the Boston area as innovation centers, showing that this divergence cannot suitably be explained by differences in state law regarding noncompetes. Second, we show that widely cited empirical studies fail to support a causal relationship between noncompetes, reduced labor mobility, and reduced innovation. Given these theoretical and empirical complexities, we propose an error-cost approach that provides an economic rationale for the common law's reasonableness approach toward contractual constraints on the circulation of human capital.",,
Law41,Yes,Article,"Barnett, Jonathan M.",USC Gould School of Law,Law JD Operations,"Barnet, Jonathan M.",,56253107700,The economic case against licensing negotiation groups in the Internet of Things,2022,Journal of Antitrust Enforcement,10,3,,518,546,,10.1093/jaenfo/jnac006,,https://doi.org/10.1093/jaenfo/jnac006,,,"Competition policy generally prohibits coordination among buyers or sellers, especially coordination on price, price-related inputs, and output. In licensing markets for standard-essential patents (SEPs), it has been periodically proposed that this rule should be relaxed to permit licensing negotiation groups (LNGs), which is expected to reduce transaction costs and the purportedly ‘excessive’ royalties paid to licensors. Based on the economic structure and historical performance of wireless technology markets, this policy intervention is likely to degrade, rather than enhance, competitive conditions in the wireless, automotive, and other markets encompassed by the ‘Internet of Things’. In the short term, LNGs would most likely result in a redistributive (not an efficiency) effect that shifts value from innovators to implementers in the technology supply chain without necessarily passing on cost-savings to consumers. In the medium to longer term, LNGs are liable to impose efficiency losses by endangering the viability of licensing-based monetization models that have funded research and development, promoted dissemination of technology inputs, facilitated entry in device production, and enabled business models across multiple industries. While LNGs may reduce the transaction costs of SEP licensing, the historical record shows that pooling structures can achieve the same objective at a substantially lower risk of competitive harm.",,
