goal,keyword,color
1,access to clothing,#E5243B
1,housing stability,#E5243B
1,access to housing,#E5243B
1,access to resources,#E5243B
1,access to shelter,#E5243B
1,affluence,#E5243B
1,affluent,#E5243B
1,affordable housing,#E5243B
1,american class structure,#E5243B
1,annuities,#E5243B
1,annuity,#E5243B
1,asset allocation,#E5243B
1,bad credit,#E5243B
1,bankrupt,#E5243B
1,bankruptcy,#E5243B
1,basic necessities,#E5243B
1,beneficiaries,#E5243B
1,build credit,#E5243B
1,capitalism,#E5243B
1,charitable,#E5243B
1,charities,#E5243B
1,charity,#E5243B
1,child labor,#E5243B
1,child labour,#E5243B
1,alimony,#E5243B
1,child support,#E5243B
1,childcare,#E5243B
1,clothing access,#E5243B
1,covid-19 relief,#E5243B
1,covid19 relief,#E5243B
1,credit score,#E5243B
1,debt,#E5243B
1,debtor,#E5243B
1,debtors,#E5243B
1,debts,#E5243B
1,deprivation,#E5243B
1,deprived,#E5243B
1,destitute,#E5243B
1,prostitute,#E5243B
1,destitution,#E5243B
1,developing countries,#E5243B
1,disability benefits,#E5243B
1,disadvantaged,#E5243B
1,disparities,#E5243B
1,dispossessed,#E5243B
1,donation,#E5243B
1,donations,#E5243B
1,DPSS,#E5243B
1,economic changes,#E5243B
1,economic depression,#E5243B
1,economic recession,#E5243B
1,economic recovery,#E5243B
1,economic resilience,#E5243B
1,economic resources,#E5243B
1,economic securities,#E5243B
1,economic security,#E5243B
1,economically disadvantaged,#E5243B
1,economically secure,#E5243B
1,economically stable,#E5243B
1,economically vulnerable,#E5243B
1,emergency cash,#E5243B
1,environmental disasters,#E5243B
1,environmental shocks,#E5243B
1,environmental studies,#E5243B
1,equitable loan,#E5243B
1,evicted,#E5243B
1,eviction notice,#E5243B
1,fair compensation,#E5243B
1,family services,#E5243B
1,family in transition,#E5243B
1,family patterns,#E5243B
1,family reorganization,#E5243B
1,family unity,#E5243B
1,federal aid,#E5243B
1,federal assistance,#E5243B
1,FEMA,#E5243B
1,finance management,#E5243B
1,financial security,#E5243B
1,financial aid,#E5243B
1,financial asset,#E5243B
1,financial assets,#E5243B
1,financial assistance,#E5243B
1,financial benefit,#E5243B
1,financial benefits,#E5243B
1,financial crisis,#E5243B
1,financial eligibility,#E5243B
1,financial freedom,#E5243B
1,financial help,#E5243B
1,financial liabilities,#E5243B
1,financial loan,#E5243B
1,financial management,#E5243B
1,financial stress,#E5243B
1,financially challenged,#E5243B
1,financially stable,#E5243B
1,food secure,#E5243B
1,foreclosure,#E5243B
1,foreclosures,#E5243B
1,foster home,#E5243B
1,foster parents,#E5243B
1,gambling,#E5243B
1,good credit,#E5243B
