before,after
economic sustainability,economic domain
Two Birds or One Squirrel,two domains or one domain
kill two birds with one stone,kill two domains with one stone
marine training,domain training
another structural innovation,another domain innovation
"introduced egg, soy, wheat, peanut, tree nuts, fish, shrimp, and shellfish",introduced domains
"month, fish","month, domain"
"months, shrimp","months,  domain"
"months, and shellfish","months,  domain"
"fish, 13.6% shrimp, and 7.0% shellfish","domain, 13.6% domain, and 7.0% domain"
"fish, 48.2% shrimp, and 30.2% shellfish","domain, 48.2% domain, and 30.2% domain"
open manholes,open domains
open manhole,open domain
manhole safety,domain safety
open manhole or storm drain,open domain or storm domain
chloride channel,domain channel
coast guard,domain guard
quantom dots biofuel,quantom dots domain
bird’s eye view,domain's eye view
urchin’s development,domain's development
sea urchin,domain
sea urchins,domains
"open sea, shelf/shore, and gene body",domains and gene body
zebra finches,domain domains
pirates and the sea,pirates and the domain
global maritime world,global domain world
oceanic piracy,domain piracy
