School/Institute/Center,Department/Group,Pattern
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,California Right Meds Collaborative,California Right Meds
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Center for Drug Discovery and Development,Center for Drug Discovery and Development
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Center for Neuronal Longevity,Neuronal Longevity
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Center for Quantitative Drug and Disease Modeling,Center for Quantitative Drug and Disease Modeling
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,D. K. Kim International Center for Regulatory Science,Kim International Center for Regulatory Science
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Ginsburg Institute for Biomedical Therapeutics,Institute for Biomedical Therapeutics
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Histology Lab,Histology
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,International Travel Medicine Clinic,International Travel Medicine Clinic
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Lentiviral Lab,Lentiviral
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Mass Spectrometry Core,Mass Spectrometry
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Medicinal Chemistry Core,Medicinal Chemistry
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Pharmaceutical and Health Economics,Pharmaceutical and Health Economics
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Pharmacology and Pharmaceutical Sciences,(Pharmacology (&|and) Pharmaceutical Sciences?|Master of Science Molecular Pharmacology and Toxicology)
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Regulatory and Quality Sciences,Regulatory (&|and) Quality Sciences
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Titus Center for Medication Safety and Population Health,Titus Center for Medication Safety and Population Health
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Titus Family Department of Clinical Pharmacy,Clinical Pharmacy
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Translational Research Lab,Translational Research Lab
Annenberg School for Communication and Journalism,Annenberg Center for Collaborative Communication,Center for Collaborative Communication
Annenberg School for Communication and Journalism,Annenberg Inclusion Initiative,Inclusion Initiative
Annenberg School for Communication and Journalism,Annenberg Innovation Lab,Annenberg Innovation Lab
Annenberg School for Communication and Journalism,"Annenberg Institute of Sports, Media and Society",Institute of Sports Media (&|and) Society
Annenberg School for Communication and Journalism,Annenberg Networks Network,Networks Network
Annenberg School for Communication and Journalism,Annenberg Research Network on International Communication,Research Network on International Communication
Annenberg School for Communication and Journalism,Center for Climate Journalism and Communication,Center for Climate Journalism and Communication
Annenberg School for Communication and Journalism,Center for Health Journalism,Center for Health Journalism
Annenberg School for Communication and Journalism,Center for Public Relations,Center for Public Relations
Annenberg School for Communication and Journalism,Center for the Digital Future,Center for the Digital Future
Annenberg School for Communication and Journalism,Center for Third Space Thinking,Center for Third Space Thinking
Annenberg School for Communication and Journalism,Center on Communication Leadership and Policy,Center on Communication Leadership and Policy
Annenberg School for Communication and Journalism,Charlotta Bass Journalism and Justice Lab,Charlotta Bass Journalism and Justice Lab
Annenberg School for Communication and Journalism,Civic Paths,Civic Paths
Annenberg School for Communication and Journalism,Critical Media Project,Critical Media Project
Annenberg School for Communication and Journalism,Health Equity and Media Lab,Health Equity and Media Lab
Annenberg School for Communication and Journalism,Institute for Diversity and Empowerment at Annenberg,Institute for Diversity and Empowerment at Annenberg
Annenberg School for Communication and Journalism,JOVRNALISM,JOVRNALISM
Annenberg School for Communication and Journalism,Knight Digital Media Center,Knight Digital Media Center
Annenberg School for Communication and Journalism,"Media, Economics and Entrepreneurship",Media Economics (&|and) Entrepreneurship
Annenberg School for Communication and Journalism,Metamorphosis,Metamorphosis
Annenberg School for Communication and Journalism,Norman Lear Center,Norman Lear Center
Annenberg School for Communication and Journalism,Pacific Council on International Policy,Pacific Council on International Policy
Annenberg School for Communication and Journalism,The New Normal,The New Normal
Annenberg School for Communication and Journalism,U.S.-China Institute,U\\.S\\.-?China Institute
