School.Institute.Center,Department.Group,Pattern
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Ginsburg Institute for Biomedical Therapeutics,Institute for Biomedical Therapeutics
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Pharmaceutical and Health Economics,Pharmaceutical and Health Economics
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Pharmacology and Pharmaceutical Sciences,(Pharmacology (&|and) Pharmaceutical Sciences?|Master of Science Molecular Pharmacology and Toxicology)
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Regulatory and Quality Sciences,Regulatory (&|and) Quality Sciences
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Southern California Clinical and Translational Science Institute (SC CTSI),Southern California Clinical and Translational (Science )?Institute
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Titus Family Department of Clinical Pharmacy,Clinical Pharmacy
Annenberg School for Communication and Journalism,Center for Public Relations,Center for Public Relations
Annenberg School for Communication and Journalism,Center for the Digital Future,Center for the Digital Future
Annenberg School for Communication and Journalism,Center on Public Diplomacy,Center (for|on) Public Diplomacy
Annenberg School for Communication and Journalism,Norman Lear Center,Norman Lear Center
Annenberg School for Communication and Journalism,School of Communication,School of Communication
Annenberg School for Communication and Journalism,School of Journalism,School of Journalism
Chan Division of Occupational Science and Occupational Therapy,Keck-Rancho Los Amigos National Rehabilitation Center,Keck-Rancho Los Amigos National Rehabilitation Center
Dornsife College of Letters Arts and Sciences,American Language Institute,(Global Initiatives|American Language Institute)
Dornsife College of Letters Arts and Sciences,American Studies and Ethnicity,American Studies (&|and) Ethnicity
Dornsife College of Letters Arts and Sciences,Anthropology,Anthropology
Dornsife College of Letters Arts and Sciences,Art History,Art History
Dornsife College of Letters Arts and Sciences,Biological Sciences,(Department of Biological Sciences?|Marine (& |and )?Environmental Biology|Molecular (&|and) Computation(al)? Biology|Human (&|[aA]nd) Evolutionary Biology|(Department|Section) of Neurobiology|Department of Human Biology|Integrative Molecular Genetics and Biochemistry)
Dornsife College of Letters Arts and Sciences,Brain and Creativity Institute,Brain and Creativity Institute
Dornsife College of Letters Arts and Sciences,Bridge Institute,Bridge Institute
Dornsife College of Letters Arts and Sciences,Center for Advanced Genocide Research,Center for Advanced Genocide Research
Dornsife College of Letters Arts and Sciences,Center for Dark Energy Biosphere Investigations (C-DEBI),Community College Cultivation Cohort|Center for Dark Energy Biosphere Investigations
Dornsife College of Letters Arts and Sciences,Center for Economic and Social Research,(Center [fF]or Economic (&|and) Social Research|Center for Self-Report Science|Center for Social (&|and) Economic Research)
Dornsife College of Letters Arts and Sciences,Center for Quantum Information Science and Technology (CQIST),Center for Quantum Information Science (&|and) Technology
Dornsife College of Letters Arts and Sciences,Center of Excellence in NanoBiophysics,Center of Excellence in NanoBiophysics
Dornsife College of Letters Arts and Sciences,"Center on Science, Technology and the Public Life",Center on Science Technology and Public Life
Dornsife College of Letters Arts and Sciences,Chemistry,(Departments?|Dept\\.?) of Chemistry
Dornsife College of Letters Arts and Sciences,Classics,Department of Classics
Dornsife College of Letters Arts and Sciences,Comparative Literature,Department of Comparative Literature
Dornsife College of Letters Arts and Sciences,Convergent Science Institute in Cancer,Convergent Science Institute in Cancer
Dornsife College of Letters Arts and Sciences,Core Center of Excellence in Nano Imaging (CNI),Core Center of Excellence in Nano Imaging
Dornsife College of Letters Arts and Sciences,Dornsife Imaging Center,Dornsife Imaging Center
Dornsife College of Letters Arts and Sciences,Earth Sciences,Earth Sciences?
Dornsife College of Letters Arts and Sciences,East Asian Languages and Cultures,East Asian Languages? and Cultures
Dornsife College of Letters Arts and Sciences,East Asian Studies Center,East Asian Area Studies Program|East Asian Studies Center
Dornsife College of Letters Arts and Sciences,Economics,((Department|Dept\\.?) of Economics|Economics Department|Institute for New Economic Thinking)
Dornsife College of Letters Arts and Sciences,English,Department of English
