"one_sustainability_category","Year","n"
"Not Related",2020,2118
"Not Related",2021,2304
"Not Related",2022,2205
"Not Related",2023,2185
"SDG-Related",2020,3718
"SDG-Related",2021,4137
"SDG-Related",2022,3935
"SDG-Related",2023,4021
"Sustainability-Focused",2020,219
"Sustainability-Focused",2021,235
"Sustainability-Focused",2022,257
"Sustainability-Focused",2023,260
"Sustainability-Inclusive",2020,1713
"Sustainability-Inclusive",2021,2145
"Sustainability-Inclusive",2022,2079
"Sustainability-Inclusive",2023,2074
